TAB,UPDATED,STATUS
Shopping List,2026-04-06,in progress
Archetypes,2025-12-21,in progress
Experimental,2024-09-09,future
Autos,2025-12-21,in progress
Bows,2025-12-21,in progress
HCs,2025-12-21,in progress
Pulses,2025-12-21,in progress
Scouts,2025-12-21,in progress
Sidearms,2025-12-21,in progress
SMGs,2025-12-21,in progress
BGLs,2025-12-21,in progress
Fusions,2025-12-21,in progress
Glaives,2025-12-21,in progress
Shotguns,2025-12-21,in progress
Snipers,2025-12-21,in progress
Rocket Sidearms,2025-12-21,in progress
Traces,2025-12-21,in progress
HGLs,2025-12-21,in progress
LFRs,2025-12-21,in progress
LMGs,2025-12-21,in progress
Rockets,2025-12-21,in progress
Swords,2025-12-21,in progress
Other,2025-12-21,in progress
Exotic Weapons,2025-12-21,in progress
Exotic Armor,pre-TFS,future
Builds,pre-TFS,future
Perks,2025-12-21,in progress
Origin Traits,2025-12-21,in progress
Set Bonuses,2026-06-18,updated
Artifact Mods,2026-06-23,updated
Fragments,2025-12-24,in progress
Aspects,2025-12-30,in progress
Subclasses,2026-01-07,in progress
Encounters,2026-01-12,in progress
Transitions,TBA,in progress
Raid Mods,TBA,in progress
"Note: perks are ordered from top to bottom in order of endgame applicability and aren't necessarily directly associated with their corresponding perk in the other column (i.e. top+top perk). Also, S tier is individual to each tier list (S tier glaive =/= S tier sniper in overall viability).",,
"Detailed info from the
Destiny Data Compendium",,
"Reserve info from the
Reserve and Mag Database",,
Message @theaegisrelic on Discord if you have any corrections/questions! This is meant to be an evolving community resource :),,
