WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Kindled Orchid,29,Void,Adaptive,Arena Ops,,60,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Shoot to Loot","Destabilizing Rounds
Explosive Payload",Forge's Kin,"probably the best ""traditional"" hand cannon in the game, also has StL + EP on top",,S
,IRONWOOD 03,29,Void,Spread Shot,Distortions,,50,Yes,Barrel Shroud,Alloy Magazine,"Repulsor Brace
Dimensional Shift
Demolitionist","Destabilizing Rounds
Surrounded
Collective Action",Carrion Munitions,"most potent damage profile with almost every relevant void perk, great origin",,S
,Word of Crota,29,Void,Precision,Crota's End,,52,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Dragonfly
Collective Demolition
",Destabilizing Rounds,Cursed Thrall,"great overall, strong but build-dependent origin, solid perks",,S
,Exalted Truth,29,Void,Adaptive,Trials,,58,Yes,Fluted Barrel,Alloy Magazine,"Destabilizing Rounds
Withering Gaze",Repulsor Brace,Fleet Footed,"not particularly remarkable but has classic void combo on good frame, poor origin",,S
,Modified B-7 Pistol,28,Stasis,Dynamic,Tharsis Outpost,,54,Yes,Fluted Barrel,Enhanced Heatsink,Firefly,"Headstone
Crystalline Corpsebloom",Accelerated Assault,"strongest possible double splash stasis combo, great frame, solid origin",,S
,Eyasluna,29,Stasis,Adaptive,Grasp of Avarice,,54,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Meganeura","Headstone
Crystalline Corpsebloom
Chaos Reshaped",Unburied Treasure,same pairings as Modified B-7 but has Meganeura and Chaos diversity with worse damage profile,,S
,Epochal Integration,29,Solar,Adaptive,Neomuna,,54,Yes,Fluted Barrel,Alloy Magazine,"Explosive Payload
Heal Clip","Meganeura
Incandescent
Chaos Reshaped",Nanotech Tracer Missiles,basically a Zaouli's with a better origin trait and no Redirection,,S
,Zaouli's Bane,29,Solar,Adaptive,King's Fall,,50,Yes,Fluted Barrel,Alloy Magazine,"Explosive Payload
Redirection","Meganeura
Incandescent
Chaos Reshaped",Runneth Over,"interesting Redirection pairing, very lethal perk combos but lacks sustain",,S
,Posterity,29,Arc,Precision,Deep Stone Crypt,,53,Yes,Fluted Barrel,Alloy Magazine,Voltshot,"Redirection
Explosive Payload",Bray Inheritance,"probably best Voltshot hand cannon, still lower in lethality compared to other splash combos",,A
,Corundum Hammer,28,Strand,Adaptive,Trials,,51,Yes,Fluted Barrel,Alloy Magazine,"Firefly
Shoot to Loot
Slice","Tear
Explosive Payload",Fleet Footed,"decent double splash for a strand HC, great archetype, StL + EP option",,A
,Vulpecula,29,Stasis,Precision,Shattered Throne,,52,Yes,Fluted Barrel,Alloy Magazine,"Headstone
Shoot to Loot","Crystalline Corpsebloom
Explosive Payload",Ignoble Deeds,"crystal spam perk combo and StL + EP access on a great frame, mediocre origin",,A
,Unloved,29,Strand,Heavy Burst,Sundered Doctrine,,60,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Hatchling
Dragonfly","Tear
Frenzy",Subjugation,"weaker double splash, but excellent origin trait on an decent archetype",,A
,Solemn Remembrance,27,Stasis,Precision,Crucible,,55,Yes,Fluted Barrel,Alloy Magazine,Headstone,Firefly,None,"adaptive frame damage profile, no origin but classic stasis double splash combo",,A
,Luna's Howl,29,Solar,Precision,Onslaught,,60,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Heal Clip","Incandescent
Chaos Reshaped",Indomitability,"solid double splash, great frame, decent origin",,A
,Midnight Coup,29,Kinetic,Adaptive,Onslaught,,60,Yes,Fluted Barrel,Alloy Magazine,"Firefly
Explosive Payload
Shoot to Loot","Kinetic Tremors
Ancillary Ordinance
One for All",Indomitability,"had some novel kinetic combos on release, solid frame, not mind-blowing",,A
,Triple Laureate,28,Stasis,Spread Shot,Tenet of Bravery,,56,Yes,Barrel Shroud,Alloy Magazine,Crystalline Corpsebloom,"Chaos Reshaped
Trench Barrel",Häkke Breach Armaments,"very solid for crystal-based builds, great frame and Hakke + Crystalline pairing",,A
,Trust,29,Solar,Precision,Gambit,,60,Yes,Fluted Barrel,Alloy Magazine,Firefly,"Incandescent
Explosive Payload",Gun and Run,"double splash and a solid frame, just not a lot of perk diversity and a bad origin",,A
